,id,pool-id,user-id,amount-after-fee,fee,date,method
0,0xf3bd1eb579b9ea894ad7389543538e7b902598df3c82154dde2b3e706d8bb6ce:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x10271004853b0ed02eb73c333782402d478340ba,5397263082,0,2022-06-27 17:09:06,repay
1,0xb90e53e06b181e201aff77060f3b4914d92453352cfa6fc11f5e1446fa927348:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x207f4f832a08ff943894b7deffa48e47caf2adfd,500450000,0,2022-06-24 18:12:34,repay
2,0x1706e321314d9d7daa007d02f3c12adfe16f762087a6d68626903edae736de54:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf1a1602c90d8e510bc583eabb53667e3afae4b52,50486273588926546,125000000000000,2022-06-23 13:34:02,repay
3,0xcdd90a373922a4626fdf0d2e06b0074c711d9b19df55ac32b14f808a08437a3d:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdfff43a407bf3468a27618b1dc1e87021234c420,232835918,0,2022-06-23 00:16:39,repay
4,0x2e134c1c8fe7b26a60c8471ea249a77fd33f303f7843dfff6d3d23fd748db51e:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdfff43a407bf3468a27618b1dc1e87021234c420,482433110,0,2022-06-23 00:12:31,repay
5,0xb971104f7c13e56bfcd3e4f1b5e6ddfc1f048eebdf78eb88676e640ab5e1aaeb:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdfff43a407bf3468a27618b1dc1e87021234c420,596590686676165112458,0,2022-06-23 00:10:34,repay
6,0x4171985cc26d2ff84e3927bc4cab965073fbd043a90e7c7eb3416cd4d7912c50:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x2e771628e765c04a06252801177332d078a19a21,9999999600,400,2022-06-23 00:07:53,repay
7,0xd0f6fe0090d660ec720b6ab4ff0457d61c583e2d9fce12f9a05a5906c15ffd2f:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdfff43a407bf3468a27618b1dc1e87021234c420,587509203170255568896,0,2022-06-23 00:05:28,repay
8,0x9d4ab16005f08ccf2bb5b277c3d3da0f99225f09d5c199268aac7d2671474f6e:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x6a4028422505744cd63368cec9f41b7bb4ac5b8b,7463750046024920760,746375079240,2022-06-22 07:04:06,repay
9,0xf5a80f006b333c7e50cd52e039e93e88ea3858af5ca6c534d11b89c3e85acecb:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfa65f12e326da4af7895e5fc71f5b383cb8e6624,1548742341439617917751,0,2022-06-21 19:05:54,repay
10,0xf58d1dc96c17d6377646311412e2fdc271a93bee5f740372d5558d1dd5d57261:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x2383453c86472b239940222fc76aa28d9290b56c,1497992437,0,2022-06-21 10:09:13,repay
11,0xe2a0d69a736d628b11c43dc3cf8182ba381cdb9326d907251558760a22bc85c1:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x2d42059a3a5387c5447efe41fcee57eaae5803fc,4036789546505313606,0,2022-06-21 08:11:45,repay
12,0xc71377295629c60ed0dfbc11f48cf5174471214b65994196ced391ca6b817149:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x2d42059a3a5387c5447efe41fcee57eaae5803fc,229604746640877652900,0,2022-06-21 08:05:52,repay
13,0x624ff51fe867af17cffd53c9c19c081824d30fba0985fa40ce743aad2ae3760a:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x2d42059a3a5387c5447efe41fcee57eaae5803fc,2182930332510230113694,0,2022-06-21 07:57:09,repay
14,0x7f9140e427a748503f850545751b896599672e4c908387479cb02dddf24708c6:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xcf2db24e539b9d7ae55862409f8ccfecb0267668,623761657,0,2022-06-21 03:36:33,repay
15,0xc84732d8c9dcf571683e1fe6716a4872bdda18d7cd393af7a6822735058eec1d:4,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xcf2db24e539b9d7ae55862409f8ccfecb0267668,418967141,0,2022-06-21 02:52:22,repay
