,id,pool-id,user-id,amount,date,method
0,0x89e84a7610c961e15b17337d7efb258ca2a287a99f0bc61bcedf71746dcbbbcb:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x4bc750d9af820bd2a4aa7830f646a1bce2ed19bb,2111342536414406,2022-06-27 09:35:12,deposit
1,0xb580ad19a4cd5ac7b551c12d1c652681fecd5698afecdb1754571c91bd8ef80f:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xeeb1c1665197b018d367dfc0e4a286ae61830936,4000000,2022-06-27 07:45:58,deposit
2,0x86e50e9080dc4962980f946dbd2d9867782c3ef7eeb35007c588fa9e30c7d937:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xeeb1c1665197b018d367dfc0e4a286ae61830936,8224191459177169,2022-06-27 07:40:03,deposit
3,0xb3deb1122d1635d169a575ff7aedfc2974bb0143b4b4da594a8da0f0c0d80fb3:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x5938ca906ce4800bf6ba11bdfea2d0cc2fbf2e6b,423309747551193,2022-06-27 07:01:02,deposit
4,0x59ee25f2a7c9ffef51bc34cc4048fc4beebdd1611f5472a23f507f1c655fc188:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x6d15ba135f079cd4f86db7e5deada5148167bd71,90831238798741525,2022-06-27 00:56:58,deposit
5,0xa56f889c1b3eadecc0df6e09d13eb1ecfae1611b41555982c99a6bf70bb396b9:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x75af407a625f706e23b61d89f09d2a666c785f30,59203498154924022,2022-06-26 23:14:44,deposit
6,0x271517d2c4fd0edad59e5f9c7142eced00816d5c253778ff8445a5ca89298e97:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x41564363edc85dba29c6dd47dc2bc7a2b7e081fc,60412544968292347153,2022-06-26 21:11:58,deposit
7,0x2fbf23f804eea2b311835d7f7f4cb0bcc116c4f141d5208faa15f0f6bb3242d0:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1a4773c3955d36ed578fe6205151f54fb547d2b1,14248949255440816,2022-06-26 12:22:25,deposit
8,0x6bf278f123ec7ca021d635230af848c8a3da68d800a3a154704b61b9f986e156:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1a4773c3955d36ed578fe6205151f54fb547d2b1,101085322280875028,2022-06-26 12:15:13,deposit
9,0x09f85dcd9ecede0194d51ebfa72ab3749f93e7d71937de82586e30171180a796:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x66329fdd4042928bfcab60b179e1538d56eeeeee,50000000000000000000,2022-06-26 07:19:56,deposit
10,0x67e63e126ecf838848523ae863a1b051ac265baef84df0c617a6be9c1fc3990e:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x20b56f6647b390429d0b2e914d563a9447d74d94,4178984052385652,2022-06-26 06:58:35,deposit
11,0xb87a3e0e04ee423757e32f129d8fff0ea2198a6cb5dad8d66d38c70399ee8966:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xd066f81ada867d1d4507dfe0f227a8dd2c384d36,4840391133715930,2022-06-26 06:51:14,deposit
12,0x6d17ec139af6fe057849238615f21dbb11d482916f726b6b038c164a932f6d0f:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xc83941872644ecdbca4d4b8379e725471bfee31c,8436318044114026,2022-06-26 06:11:19,deposit
13,0x87f453b20da80316e43f550c392c975922ba5d8a73ee1fcdbb417e95e02dfe9a:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x92ac3fa6a9d5a9ed9286827ef21afa24fe923c6c,887613603507004,2022-06-26 03:03:07,deposit
14,0x888e6eb1d5802bfe3c2db31c4876dfc9c852a1d474d91c4c1af95d6e8f27ee26:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x440efbba3f3d971fd8411c580197ecb53ef71f87,6000000000000000000000,2022-06-25 19:48:10,deposit
15,0x8517cbe65e238e98b1a1e9f60aec44663c3281f9eb6cec4221809acfb78a0910:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x09d76c7d9f2a655e0ec44785eab7c3377c74f661,9752398097165842,2022-06-25 13:29:41,deposit
16,0xf0aafdd3470b2dfd7e564feda4b5b4c87556bdedf338535be7a569171e46bb32:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9b8c4374baab7786550f690b73e7f81280854b23,2699524367277879,2022-06-25 07:37:57,deposit
17,0x3546e8b593f055e782b9f11a315bc912a794ad001e32215bad0088f349527f0a:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x33b1609236464521fc73b4f84a79e6f36fafc771,642727760,2022-06-25 07:29:58,deposit
18,0xf7f3d49cd2fa347e7f167e81aebe2f06ec5302511dceb8b9d2827a96e8b3a88c:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xd767a251fc6cb75538faf8efa32862b1797c8dea,42790182606489,2022-06-25 06:22:33,deposit
19,0xae68cfa79c46bc3a9e82ca398d4c0eb44a0aa0f127727a9e4266db38bcf8ed83:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x819baa372b018d7d3d67453a407633a331e52f72,5406561371846927,2022-06-25 05:27:35,deposit
20,0xc00565b2a8adf2e496f7f5901ab151ea18aca89829f99d7c8cceefb915a0a3bf:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x60ae340aba9742b3bd0c5bfd4bffa5118b0797f9,38183063415472902,2022-06-25 01:41:39,deposit
21,0xae2349b67d811b523ade104d9df0e3334fc172184923d94292a15f31b11bde7c:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9f3c2254414c852b83c727b257b6eab9418cf914,10000000000000000000,2022-06-25 01:35:18,deposit
22,0x1c7bb43a612461af2d86eccb4f1041467157d5078113f6d51207e30d296dc505:1,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x5fdd702a970b42e7124e5ac052217ea959a71078,2538198080362943,2022-06-25 00:36:48,deposit
